Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Cuba,CUB,2004,9.8,109,130,88,North America,216.12,3611
Croatia,HRV,2004,9.7,113,159,66,Europe,302.24,9829
Antigua and Barbuda,ATG,2004,9.1,153,181,125,North America,36.06,11535
Colombia,COL,2004,6.6,152,206,97,South America,84.25,3033
Barbados,BRB,2004,9.2,116,143,90,North America,7.79,13786
Azerbaijan,AZE,2004,10.6,151,202,102,Asia,18.33,1122
Austria,AUT,2004,9.8,84,113,54,Europe,254.04,38711
Cyprus,CYP,2004,10.5,74,99,48,Asia,9.17,25227
Denmark,DNK,2004,12.8,95,117,72,Europe,161.78,49552
Bulgaria,BGR,2004,10.1,154,215,92,Europe,184.12,3485
Australia,AUS,2004,11.8,67,85,49,Oceania,133.76,32454
Chile,CHL,2004,9.6,98,130,66,South America,155.69,6744
Bahrain,BHR,2004,8.4,94,102,80,Asia,54.21,17497
Belize,BLZ,2004,10.3,195,241,144,North America,117.38,4449
Albania,ALB,2004,9.1,101,127,74,Europe,65.39,2544
Brazil,BRA,2004,6.2,169,227,111,South America,70.22,3984
Ecuador,ECU,2004,7.2,145,183,105,South America,84.39,3051
Costa Rica,CRI,2004,7.9,102,133,70,North America,100.72,4850
Belgium,BEL,2004,10.5,89,116,62,Europe,231.06,37661
Argentina,ARG,2004,9.2,128,166,90,South America,131.06,4683
Canada,CAN,2004,12.0,76,94,57,North America,131.66,33787
Georgia,GEO,2005,12.1,144,209,84,Asia,28.36,1552
Romania,ROU,2005,10.1,162,224,99,Europe,146.01,4847
Spain,ESP,2005,8.9,76,107,44,Europe,107.66,28092
Barbados,BRB,2005,9.2,114,140,89,North America,2.58,15230
Sweden,SWE,2005,12.4,66,80,51,Europe,164.62,45563
Suriname,SUR,2005,7.7,207,261,150,South America,211.17,4009
Trinidad and Tobago,TTO,2005,10.0,195,244,142,North America,144.14000000000001,13258
Argentina,ARG,2005,9.1,125,163,87,South America,128.18,5590
Antigua and Barbuda,ATG,2005,9.1,156,187,125,North America,0.0,12649
Serbia,SRB,2005,10.2,128,169,87,Europe,286.32,3719
Japan,JPN,2005,11.2,68,90,44,Asia,266.89,39412
South Africa,ZAF,2005,8.9,474,507,444,Africa,15.290000000000001,5914
Luxembourg,LUX,2005,11.3,81,106,55,Europe,159.07,85397
Cuba,CUB,2005,9.9,110,131,88,North America,205.94,4017
France,FRA,2005,10.4,92,125,57,Europe,232.09,38420
Colombia,COL,2005,6.8,144,194,94,South America,74.84,3742
Kyrgyzstan,KGZ,2005,10.2,223,299,144,Asia,135.48,533
Qatar,QAT,2005,8.8,67,72,56,Asia,18.8,55899
Cyprus,CYP,2005,10.7,75,97,52,Asia,24.740000000000002,26671
Guyana,GUY,2005,7.9,267,311,220,South America,333.96,1235
Costa Rica,CRI,2005,7.9,96,122,69,North America,78.73,5133
Greece,GRC,2005,9.8,79,110,47,Europe,46.53,23414
Bahrain,BHR,2005,8.4,83,92,68,Asia,40.22,19485
Switzerland,CHE,2005,12.0,66,85,46,Europe,246.19,57790
Chile,CHL,2005,9.5,95,125,64,South America,147.43,8256
Kuwait,KWT,2005,5.8,88,101,66,Asia,18.18,39166
Latvia,LVA,2005,12.1,220,325,116,Europe,312.06,7916
Poland,POL,2005,11.6,144,206,79,Europe,186.04,8417
Kazakhstan,KAZ,2005,11.7,297,417,171,Asia,357.8,4096
Germany,DEU,2005,13.3,84,110,57,Europe,161.49,36289
Saint Lucia,LCA,2005,7.5,158,188,128,North America,24.82,6292
Maldives,MDV,2005,3.5,93,104,81,Asia,2.75,4026
Canada,CAN,2005,12.2,76,94,57,North America,133.84,38218
Lithuania,LTU,2005,11.8,228,338,115,Europe,485.78999999999996,8229
Bahamas,BHS,2005,10.9,180,228,133,North America,13.32,32596
