Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Slovenia,SVN,2002,11.5,117,162,68,Europe,354.3,"23,563,576,758"
Thailand,THA,2002,6.5,197,254,139,Asia,103.12,"134,300,851,255"
Switzerland,CHE,2002,11.7,73,93,53,Europe,273.7,"301,416,810,214"
Bahrain,BHR,2002,8.4,99,113,76,Asia,27.68,"9,632,155,053"
Singapore,SGP,2002,9.5,76,97,55,Asia,172.39,"91,941,192,896"
Slovakia,SVK,2002,10.3,144,209,78,Europe,191.77,"35,083,608,131"
Philippines,PHL,2002,7.9,216,271,158,Asia,28.54,"81,357,605,642"
Seychelles,SYC,2002,7.6,185,255,104,Africa,154.12,"697,518,248"
South Africa,ZAF,2002,8.5,412,458,369,Africa,6.9799999999999995,"115,748,110,113"
Brazil,BRA,2002,6.0,176,235,116,South America,69.77,"507,962,487,700"
Saint Lucia,LCA,2002,7.2,176,217,136,North America,187.51999999999998,"748,346,606"
Spain,ESP,2002,8.5,82,116,47,Europe,115.64,"705,145,868,624"
Romania,ROU,2002,9.6,178,245,109,Europe,173.6,"46,174,557,556"
Serbia,SRB,2002,9.7,131,173,88,Europe,295.91,"16,116,843,146"
Sri Lanka,LKA,2002,10.2,150,210,87,Asia,339.41,"16,536,535,647"
Belarus,BLR,2002,9.1,264,383,137,Europe,411.0,"14,594,249,023"
Paraguay,PRY,2002,6.5,167,188,146,South America,43.45,"6,325,151,760"
Austria,AUT,2002,9.4,87,117,57,Europe,276.92,"213,377,771,504"
Jamaica,JAM,2003,7.8,170,208,130,North America,0.9099999999999999,"9,399,447,609"
Saint Lucia,LCA,2003,7.3,169,206,134,North America,133.26,"823,837,141"
Croatia,HRV,2003,9.8,121,171,70,Europe,281.69,"34,658,113,497"
Lithuania,LTU,2003,11.3,207,307,108,Europe,530.52,"18,802,576,988"
Latvia,LVA,2003,11.2,212,308,119,Europe,361.63,"11,748,433,157"
Denmark,DNK,2003,12.8,98,121,74,Europe,156.7,"218,095,997,085"
Belarus,BLR,2003,9.1,254,372,130,Europe,444.86,"17,827,791,321"
Japan,JPN,2003,11.0,68,92,44,Asia,279.40999999999997,"4,445,658,071,222"
Kuwait,KWT,2003,6.1,90,103,68,Asia,16.44,"47,875,838,926"
Barbados,BRB,2003,9.1,123,153,95,North America,0.0,"3,274,850,000"
Kazakhstan,KAZ,2003,11.2,283,400,164,Asia,411.71,"30,833,699,703"
Cuba,CUB,2003,9.8,112,132,91,North America,221.12,"35,901,200,000"
Kyrgyzstan,KGZ,2003,10.0,217,292,140,Asia,137.86,"1,919,012,781"
Uruguay,URY,2003,8.0,125,165,87,South America,259.25,"12,045,631,093"
Serbia,SRB,2003,9.9,131,172,88,Europe,271.27,"21,188,704,081"
Seychelles,SYC,2003,7.6,185,254,103,Africa,100.0,"705,704,816"
Switzerland,CHE,2003,11.8,71,92,51,Europe,242.66,"352,914,820,747"
Singapore,SGP,2003,9.8,73,94,52,Asia,172.74,"97,001,377,569"
Panama,PAN,2003,8.8,120,154,85,North America,97.24,"13,693,981,200"
Italy,ITA,2003,8.9,70,93,48,Europe,94.42,"1,569,649,661,400"
Sweden,SWE,2003,11.8,68,83,53,Europe,153.41,"331,108,912,605"
